resource	consumer	Reference
Aethaloptera	Abbottina	R332
Agapetus	Abbottina	R332
Agrypnia	Abbottina	R332
Ameletus	Abbottina	R332
Anisocentropus	Abbottina	R332
Antocha	Abbottina	R332
Apatania	Abbottina	R332
Apsilochorema	Abbottina	R332
Arctopsyche	Abbottina	R332
Asynarchus	Abbottina	R332
Athericidae	Abbottina	R332
Baetidae	Abbottina	R332
Bibiocephala	Abbottina	R332
Bleptus	Abbottina	R332
Caenidae	Abbottina	R332
Ceraclea	Abbottina	R332
Ceratopogonidae	Abbottina	R332
Chaoborus	Abbottina	R332
Cheumatopsyche	Abbottina	R332
Chironomidae	Abbottina	R332
Cinygmula	Abbottina	R332
Culicidae	Abbottina	R332
Deuterophlebia	Abbottina	R332
Dicranomyia	Abbottina	R332
Dicranota	Abbottina	R332
Diplectrona	Abbottina	R332
Dixidae	Abbottina	R332
Dolichopodidae	Abbottina	R332
Dolophilodes	Abbottina	R332
Ecdyonurus	Abbottina	R332
Ecnomus	Abbottina	R332
Empididae	Abbottina	R332
Epeorus	Abbottina	R332
Ephemera	Abbottina	R332
Ephemerellidae	Abbottina	R332
Ephoron	Abbottina	R332
Ephydridae	Abbottina	R332
Eristalis	Abbottina	R332
Ganonema	Abbottina	R332
Glossosoma	Abbottina	R332
Goera	Abbottina	R332
Gumaga	Abbottina	R332
Helicopsyche	Abbottina	R332
Heptagenia	Abbottina	R332
Hexatoma	Abbottina	R332
Hydatophylax	Abbottina	R332
Hydropsyche	Abbottina	R332
Hydroptila	Abbottina	R332
Hydroptilidae	Abbottina	R332
Isonychia	Abbottina	R332
Lepidostoma	Abbottina	R332
Lepidostomatidae	Abbottina	R332
Leptoceridae	Abbottina	R332
Leptophlebiidae	Abbottina	R332
Limnephilidae	Abbottina	R332
Limnephilus	Abbottina	R332
Macrostemum	Abbottina	R332
Metretopus	Abbottina	R332
Micrasema	Abbottina	R332
Molanna	Abbottina	R332
Muscidae	Abbottina	R332
Mystacides	Abbottina	R332
Nemotaulius	Abbottina	R332
Neophylax	Abbottina	R332
Nephrotoma	Abbottina	R332
Nothopsyche	Abbottina	R332
Nyctiophylax	Abbottina	R332
Odontomyia	Abbottina	R332
Oecetis	Abbottina	R332
Ormosia	Abbottina	R332
Orthotrichia	Abbottina	R332
Oxyethira	Abbottina	R332
Pedicia	Abbottina	R332
Pericoma	Abbottina	R332
Philorus	Abbottina	R332
Phryganopsyche	Abbottina	R332
Plectrocnemia	Abbottina	R332
Potamanthellus	Abbottina	R332
Potamanthidae	Abbottina	R332
Potamanthus	Abbottina	R332
Potamyia	Abbottina	R332
Psilotreta	Abbottina	R332
Psychoda	Abbottina	R332
Psychodidae	Abbottina	R332
Psychomyia	Abbottina	R332
Rhithrogena	Abbottina	R332
Rhoenanthus	Abbottina	R332
Rhyacophila	Abbottina	R332
Rhyacophilidae	Abbottina	R332
Semblis	Abbottina	R332
Sepedon	Abbottina	R332
Simulium	Abbottina	R332
Siphlonurus	Abbottina	R332
Stactobia	Abbottina	R332
Stenopsyche	Abbottina	R332
Stenopsychidae	Abbottina	R332
Stratiomyia	Abbottina	R332
Stratiomyidae	Abbottina	R332
Syrphidae	Abbottina	R332
Tabanidae	Abbottina	R332
Telmatoscopus	Abbottina	R332
Tipula	Abbottina	R332
Tipulidae	Abbottina	R332
Triaenodes	Abbottina	R332
Wormaldia	Abbottina	R332
Acanthogobius	Acanthogobius	R549
Acentrogobius	Acanthogobius	R549
Acetes	Acanthogobius	R403
Aeshnidae	Acanthogobius	R403
Aethaloptera	Acanthogobius	R403
Agapetus	Acanthogobius	R403
Agrypnia	Acanthogobius	R403
Alboglossiphonia	Acanthogobius	R403
Alloperla	Acanthogobius	R403
Ameletus	Acanthogobius	R403
Amphinemura	Acanthogobius	R403
Anisocentropus	Acanthogobius	R403
Unionidae	Acanthogobius	R404, R405
Anotogaster	Acanthogobius	R403
Antocha	Acanthogobius	R406
Apatania	Acanthogobius	R403
Aphelocheirus	Acanthogobius	R403
Appasus	Acanthogobius	R403
Apsilochorema	Acanthogobius	R403
Arctopsyche	Acanthogobius	R403
Arcynopteryx	Acanthogobius	R403
Asellus	Acanthogobius	R403
Asynarchus	Acanthogobius	R403
Athericidae	Acanthogobius	R406
Augyles	Acanthogobius	R403
Baetidae	Acanthogobius	R403
Barbronia	Acanthogobius	R403
Bibiocephala	Acanthogobius	R406
Bithynella	Acanthogobius	R403
Bleptus	Acanthogobius	R403
Boleophthalmus	Acanthogobius	R549
Branchiura	Acanthogobius	R403
Caenidae	Acanthogobius	R403
Calopterygidae	Acanthogobius	R403
Cambaroides	Acanthogobius	R403
Capniidae	Acanthogobius	R403
Caridina	Acanthogobius	R403
Ceraclea	Acanthogobius	R403
Ceratopogonidae	Acanthogobius	R406
Chaetogaster	Acanthogobius	R403
Chaoborus	Acanthogobius	R406
Chelon	Acanthogobius	R406
Cheumatopsyche	Acanthogobius	R403
Chiromantes	Acanthogobius	R403
Chironomidae	Acanthogobius	R406
Chloroperlidae	Acanthogobius	R403
Chrysomelidae	Acanthogobius	R403
Cinygmula	Acanthogobius	R403
Cipangopaludina	Acanthogobius	R403, 406
Cleistostoma	Acanthogobius	R403
Clithon	Acanthogobius	R403
Cochlodesma	Acanthogobius	R404, R405
Coenagrionidae	Acanthogobius	R403
Platycnemididae	Acanthogobius	R403
Venerida	Acanthogobius	R404, R405
Corduliidae	Acanthogobius	R403
Corixidae	Acanthogobius	R403
Cottus	Acanthogobius	R549
Ctenotrypauchen	Acanthogobius	R549
Culicidae	Acanthogobius	R406
Cyathura	Acanthogobius	R403
Cymatia	Acanthogobius	R403
Detritus	Acanthogobius	R403, R407
Deuterophlebia	Acanthogobius	R406
Dicranomyia	Acanthogobius	R406
Dicranota	Acanthogobius	R406
Dineutus	Acanthogobius	R403
Diplectrona	Acanthogobius	R403
Diplonychus	Acanthogobius	R403
Dixidae	Acanthogobius	R406
Dolichopodidae	Acanthogobius	R406
Dolophilodes	Acanthogobius	R403
Dytiscidae	Acanthogobius	R403
Ecdyonurus	Acanthogobius	R403
Ecnomus	Acanthogobius	R403
Eisenia	Acanthogobius	R403
Ellobium	Acanthogobius	R403
Elmidae	Acanthogobius	R403
Empididae	Acanthogobius	R406
Epeorus	Acanthogobius	R403
Ephemera	Acanthogobius	R403
Ephemerellidae	Acanthogobius	R403
Ephoron	Acanthogobius	R403
Ephydridae	Acanthogobius	R406
Eriocheir	Acanthogobius	R403
Eristalis	Acanthogobius	R406
Erpobdella	Acanthogobius	R403
Favonigobius	Acanthogobius	R549
Furcina	Acanthogobius	R549
Galba	Acanthogobius	R403
Gammaridae	Acanthogobius	R403
Gammarus	Acanthogobius	R403, R404
Ganonema	Acanthogobius	R403
Gerridae	Acanthogobius	R403
Glossiphonia	Acanthogobius	R403
Glossiphoniidae	Acanthogobius	R403
Glossosoma	Acanthogobius	R403
Gnorimosphaeroma	Acanthogobius	R403
Goera	Acanthogobius	R403
Gomphidae	Acanthogobius	R403
Grapsidae	Acanthogobius	R403
Gumaga	Acanthogobius	R403
Gymnogobius	Acanthogobius	R549
Gyraulus	Acanthogobius	R403
Gyrinus	Acanthogobius	R403
Haliplus	Acanthogobius	R403
Hebrus	Acanthogobius	R403
Hediste	Acanthogobius	R405, 406
Helice	Acanthogobius	R403, R406
Helichus	Acanthogobius	R403
Helicopsyche	Acanthogobius	R403
Helobdella	Acanthogobius	R403
Helodes	Acanthogobius	R403
Helophorus	Acanthogobius	R403
Hemigrapsus	Acanthogobius	R403
Heptagenia	Acanthogobius	R403
Hesperocorixa	Acanthogobius	R403
Heterlimnius	Acanthogobius	R403
Hexatoma	Acanthogobius	R406
Hippeutis	Acanthogobius	R403
Hydatophylax	Acanthogobius	R403
Hydraenidae	Acanthogobius	R403
Hydrometra	Acanthogobius	R403
Hydrophilidae	Acanthogobius	R403
Hydropsyche	Acanthogobius	R403
Hydroptila	Acanthogobius	R403
Hydroptilidae	Acanthogobius	R403
Ilyocoris	Acanthogobius	R403
Ilyoplax	Acanthogobius	R403
Indoplanorbis	Acanthogobius	R403
Isonychia	Acanthogobius	R403
Isoperla	Acanthogobius	R403
Jesogammarus	Acanthogobius	R403
Kamimuria	Acanthogobius	R403
Kiotina	Acanthogobius	R403
Koreanomelania	Acanthogobius	R403
Koreoleptoxis	Acanthogobius	R403
Laccotrephes	Acanthogobius	R403
Laevapex	Acanthogobius	R403
Lepidostoma	Acanthogobius	R403
Lepidostomatidae	Acanthogobius	R403
Leptelmis	Acanthogobius	R403
Leptoceridae	Acanthogobius	R403
Leptophlebiidae	Acanthogobius	R403
Lestidae	Acanthogobius	R403
Lethocerus	Acanthogobius	R403
Leuctra	Acanthogobius	R403
Libellulidae	Acanthogobius	R403
Limnephilidae	Acanthogobius	R403
Limnephilus	Acanthogobius	R403
Limnodrilus	Acanthogobius	R403
Limnoperna	Acanthogobius	R404, R405
Littorinimorpha	Acanthogobius	R403
Luciogobius	Acanthogobius	R549
Luciola	Acanthogobius	R403
Lumbriculus	Acanthogobius	R403
Lymnaea	Acanthogobius	R403
Lymnaeidae	Acanthogobius	R403
Macrophyte	Acanthogobius	R403
Macrostemum	Acanthogobius	R403
Megaleuctra	Acanthogobius	R403
Megarcys	Acanthogobius	R403
Mesovelia	Acanthogobius	R403
Metretopus	Acanthogobius	R403
Micrasema	Acanthogobius	R403
Micronecta	Acanthogobius	R403
Molanna	Acanthogobius	R403
Monocorophium	Acanthogobius	R403
Monodonta	Acanthogobius	R403
Mugilogobius	Acanthogobius	R549
Muljarus	Acanthogobius	R403
Muscidae	Acanthogobius	R406
Sphaeriidae	Acanthogobius	R404, R405
Myoxocephalus	Acanthogobius	R549
Mysidae	Acanthogobius	R550
Mystacides	Acanthogobius	R403
Nemotaulius	Acanthogobius	R403
Nemoura	Acanthogobius	R403
Neocaridina	Acanthogobius	R403
Neoperla	Acanthogobius	R403
Neophylax	Acanthogobius	R403
Nepa	Acanthogobius	R403
Nephrotoma	Acanthogobius	R406
Nereididae	Acanthogobius	R405, 406
Noteridae	Acanthogobius	R403
Nothopsyche	Acanthogobius	R403
Notonectidae	Acanthogobius	R403
Nyctiophylax	Acanthogobius	R403
Ochterus	Acanthogobius	R403
Ocypodidae	Acanthogobius	R403
Odontomyia	Acanthogobius	R406
Oecetis	Acanthogobius	R403
Optioservus	Acanthogobius	R403
Orectochilus	Acanthogobius	R403
Ormosia	Acanthogobius	R406
Orthotrichia	Acanthogobius	R403
Oxyethira	Acanthogobius	R403
Oyamia	Acanthogobius	R403
Palaemonidae	Acanthogobius	R403, R406
Paragnetina	Acanthogobius	R403
Paraleuctra	Acanthogobius	R403
Paraplea	Acanthogobius	R403
Paratya	Acanthogobius	R403
Pedicia	Acanthogobius	R406
Peltodytes	Acanthogobius	R403
Pericoma	Acanthogobius	R406
Perinereis	Acanthogobius	R405, 406
Periophthalmus	Acanthogobius	R549
Perlodes	Acanthogobius	R403
Perlomyia	Acanthogobius	R403
Philorus	Acanthogobius	R406
Phryganopsyche	Acanthogobius	R403
Physa	Acanthogobius	R403
Plectrocnemia	Acanthogobius	R403
Polypylis	Acanthogobius	R403
Pomacea	Acanthogobius	R403
Potamanthellus	Acanthogobius	R403
Potamanthidae	Acanthogobius	R403
Potamanthus	Acanthogobius	R403
Potamocorbula	Acanthogobius	R404, R405
Potamyia	Acanthogobius	R403
Protonemura	Acanthogobius	R403
Psephenidae	Acanthogobius	R403
Pseudocrangonyx	Acanthogobius	R403
Psilotreta	Acanthogobius	R403
Psychoda	Acanthogobius	R406
Psychodidae	Acanthogobius	R406
Psychomyia	Acanthogobius	R403
Pteronarcys	Acanthogobius	R403
Radix	Acanthogobius	R403
Ranatra	Acanthogobius	R403
Rhinogobius	Acanthogobius	R549
Rhithrogena	Acanthogobius	R403
Rhoenanthus	Acanthogobius	R403
Rhopalopsole	Acanthogobius	R403
Rhyacophila	Acanthogobius	R403
Rhyacophilidae	Acanthogobius	R403
Saldidae	Acanthogobius	R403
Scirtes	Acanthogobius	R403
Scirtidae	Acanthogobius	R403
Scopura	Acanthogobius	R403
Semblis	Acanthogobius	R403
Semisulcospira	Acanthogobius	R403
Sepedon	Acanthogobius	R406
Sesarmops	Acanthogobius	R403
Sigara	Acanthogobius	R403
Simulium	Acanthogobius	R406
Sinotaia	Acanthogobius	R403
Siphlonurus	Acanthogobius	R403
Stactobia	Acanthogobius	R403
Stavsolus	Acanthogobius	R403
Stenelmis	Acanthogobius	R403
Stenopsyche	Acanthogobius	R403
Stenopsychidae	Acanthogobius	R403
Stratiomyia	Acanthogobius	R406
Stratiomyidae	Acanthogobius	R406
Sweltsa	Acanthogobius	R403
Synechogobius	Acanthogobius	R549
Syrphidae	Acanthogobius	R406
Tabanidae	Acanthogobius	R406
Taenionema	Acanthogobius	R403
Telmatoscopus	Acanthogobius	R406
Tipula	Acanthogobius	R406
Tipulidae	Acanthogobius	R406
Torix	Acanthogobius	R403
Trachidermus	Acanthogobius	R549
Triaenodes	Acanthogobius	R403
Tridentiger	Acanthogobius	R549
Tylorrhynchus	Acanthogobius	R405, 406
Veliidae	Acanthogobius	R403
Wormaldia	Acanthogobius	R403
Yoraperla	Acanthogobius	R403
Zaitzevia	Acanthogobius	R403
Acetes	Acanthopagrus	R443
Unionidae	Acanthopagrus	R519
Asellus	Acanthopagrus	R443
Bithynella	Acanthopagrus	R443
Cambaroides	Acanthopagrus	R443
Caridina	Acanthopagrus	R443
Chiromantes	Acanthopagrus	R443
Cipangopaludina	Acanthopagrus	R443
Cleistostoma	Acanthopagrus	R443
Clithon	Acanthopagrus	R443
Cochlodesma	Acanthopagrus	R519
Coilia	Acanthopagrus	R555
Venerida	Acanthopagrus	R519
Cyathura	Acanthopagrus	R443
Detritus	Acanthopagrus	R554
Ellobium	Acanthopagrus	R443
Engraulis	Acanthopagrus	R555
Eriocheir	Acanthopagrus	R443
Galba	Acanthopagrus	R443
Gammaridae	Acanthopagrus	R442, R443
Gammarus	Acanthopagrus	R442, R443
Gnorimosphaeroma	Acanthopagrus	R443
Grapsidae	Acanthopagrus	R443
Gyraulus	Acanthopagrus	R443
Hediste	Acanthopagrus	R556
Helice	Acanthopagrus	R443
Hemigrapsus	Acanthopagrus	R443
Hippeutis	Acanthopagrus	R443
Ilyoplax	Acanthopagrus	R443
Indoplanorbis	Acanthopagrus	R443
Jesogammarus	Acanthopagrus	R442, R443
Koreanomelania	Acanthopagrus	R443
Koreoleptoxis	Acanthopagrus	R443
Laevapex	Acanthopagrus	R443
