Reference number	Reference						
R001	Elliott, J.M. (1973) The diel activity pattern, drifting and food of the leech Erpobdella octoculata (L.) (Hirudinea: Erpobdellidae) in a Lake District stream. The Journal of Animal Ecology, 42, 449						
R002	Kutschera, U. (2003) The feeding strategies of the leech Erpobdella octoculata (L.): a laboratory study. International Review of Hydrobiology: A Journal Covering all Aspects of Limnology and Marine Biology, 88, 94–101.						
R003	Venkatesan, P. & Cloarec, A. (1988) Density dependent prey selection in Ilyocoris (Naucoridae). Aquatic Insects, 10, 105–116. https://doi.org/10.1080/01650428809361318.						
R004	Fantham, H.B. & Porter, A. (1913) Herpetomonas stratiomyiae , n.sp. , a flagellate parasite of the flies, Stratiomyia chameleon and S. potamida , with remarks on the biology of the hosts. Annals of Tropical Medicine & Parasitology, 7, 609–620. https://doi.org/10.1080/00034983.1913.11687631						
R005	Jager, T., Fleuren, R. H. L. J., Roelofs, W. & de Groot, A. C. Feeding activity of the earthworm Eisenia andrei in artificial soil. Soil Biology and Biochemistry, 35, 313–322 (2003).						
R006	Govedich, F.R., Bain, B.A., Burd, M. & Davies, R.W. (2003) Reproductive biology of the invasive Asian freshwater leech Barbronia weberi (Blanchard, 1897). Hydrobiologia, 510, 125–129.						
R007	Leppänen, M.T. & Kukkonen, J.V.K. (1998) Factors affecting feeding rate, reproduction and growth of an oligochaete Lumbriculus variegatus (Müller). Hydrobiologia, 377, 183–194.						
R008	El-Shimy, N.A. & Davies, R.W. (1991) The life-cycle, ecology and host specificity of the freshwater leech Alboglossiphonia polypompholyx (Glossiphoniidae) in Egypt. Hydrobiologia, 222, 173–178.						
R009	Davies, R.W., McLoughlin, N.J. & Oosthuizen, J.H. (1997) The life-cycle and feeding of the African freshwater leech Helobdella conifera (Glossiphoniidae). African Zoology, 32, 1-4.						
R010	Jeliazkov, A., Mijatovic, D., Chantepie, S., Andrew, N., Arlettaz, R., Barbaro, L., Barsoum, N., Bartonova, A., Belskaya, E., Bonada, N., Brind’Amour, A., Carvalho, R., Castro, H., Chmura, D., Choler, P., Chong-Seng, K., Cleary, D., Cormont, A., Cornwell, W., de Campos, R., de Voogd, N., Doledec, S., Drew, J., Dziock, F., Eallonardo, A., Edgar, M.J., Farneda, F., Hernandez, D.F., Frenette-Dussault, C., Fried, G., Gallardo, B., Gibb, H., Gonçalves-Souza, T., Higuti, J., Humbert, J.-Y., Krasnov, B.R., Saux, E. Le, Lindo, Z., Lopez-Baucells, A., Lowe, E., Marteinsdottir, B., Martens, K., Meffert, P., Mellado-Díaz, A., Menz, M.H.M., Meyer, C.F.J., Miranda, J.R., Mouillot, D., Ossola, A., Pakeman, R., Pavoine, S., Pekin, B., Pino, J., Pocheville, A., Pomati, F., Poschlod, P., Prentice, H.C., Purschke, O., Raevel, V., Reitalu, T., Renema, W., Ribera, I., Robinson, N., Robroek, B., Rocha, R., Shieh, S.-H., Spake, R., Staniaszek-Kik, M., Stanko, M., Tejerina-Garro, F.L., Braak, C. ter, Urban, M.C., Klink, R. van, Villéger, S., Wegman, R., Westgate, M.J., Wolff, J., Żarnowiec, J., Zolotarev, M. & Chase, J.M. (2020) A global database for metacommunity ecology, integrating species, traits, environment and space. Scientific Data, 7, 6. https://doi.org/10.1038/s41597-019-0344-7.						
R011	Smith, M.E. & Kaster, J.L. (1986) Feeding habits and dietary overlap of Naididae (Oligochaeta) from a bog stream. Hydrobiologia, 137, 193–201.						
