Node	Genus	Family	Order	Class	Phylum	Kingdom	Category
Detritus							D
Anguilla	Anguilla	Anguillidae	Anguilliformes	Actinopterygii	Chordata	Animalia	F
Conger	Conger	Congridae	Anguilliformes	Actinopterygii	Chordata	Animalia	F
Oryzias	Oryzias	Adrianichthyidae	Beloniformes	Actinopterygii	Chordata	Animalia	F
Hyporhamphus	Hyporhamphus	Hemiramphidae	Beloniformes	Actinopterygii	Chordata	Animalia	F
Konosirus	Konosirus	Clupeidae	Clupeiformes	Actinopterygii	Chordata	Animalia	F
Coilia	Coilia	Engraulidae	Clupeiformes	Actinopterygii	Chordata	Animalia	F
Engraulis	Engraulis	Engraulidae	Clupeiformes	Actinopterygii	Chordata	Animalia	F
Cobitis	Cobitis	Cobitidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Iksookimia	Iksookimia	Cobitidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Kichulchoia	Kichulchoia	Cobitidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Koreocobitis	Koreocobitis	Cobitidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Misgurnus	Misgurnus	Cobitidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Abbottina	Abbottina	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Acanthorhodeus	Acanthorhodeus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Acheilognathus	Acheilognathus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Aphyocypris	Aphyocypris	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Carassius	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Coreoleuciscus	Coreoleuciscus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Ctenopharyngodon	Ctenopharyngodon	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Culter	Culter	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Cyprinus	Cyprinus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Erythroculter	Erythroculter	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Gnathopogon	Gnathopogon	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Gobiobotia	Gobiobotia	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Hemibarbus	Hemibarbus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Hemiculter	Hemiculter	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Hypophthalmichthys	Hypophthalmichthys	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Ladislavia	Ladislavia	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Microphysogobio	Microphysogobio	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Opsariichthys	Opsariichthys	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Phoxinus	Phoxinus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Pseudogobio	Pseudogobio	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Pseudopungtungia	Pseudopungtungia	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Pseudorasbora	Pseudorasbora	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Pungtungia	Pungtungia	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Rhodeus	Rhodeus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Rhynchocypris	Rhynchocypris	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Sarcocheilichthys	Sarcocheilichthys	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Saurogobio	Saurogobio	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Squalidus	Squalidus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Squaliobarbus	Squaliobarbus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Tribolodon	Tribolodon	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Zacco	Zacco	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Lefua	Lefua	Nemacheilidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Orthrias	Orthrias	Nemacheilidae	Cypriniformes	Actinopterygii	Chordata	Animalia	F
Gasterosteus	Gasterosteus	Gasterosteidae	Gasterosteiformes	Actinopterygii	Chordata	Animalia	F
Pungitius	Pungitius	Gasterosteidae	Gasterosteiformes	Actinopterygii	Chordata	Animalia	F
Chelon	Chelon	Mugilidae	Mugiliformes	Actinopterygii	Chordata	Animalia	F
Mugil	Mugil	Mugilidae	Mugiliformes	Actinopterygii	Chordata	Animalia	F
Hypomesus	Hypomesus	Osmeridae	Osmeriformes	Actinopterygii	Chordata	Animalia	F
Osmerus	Osmerus	Osmeridae	Osmeriformes	Actinopterygii	Chordata	Animalia	F
Plecoglossus	Plecoglossus	Plecoglossidae	Osmeriformes	Actinopterygii	Chordata	Animalia	F
Salangichthys	Salangichthys	Salangidae	Osmeriformes	Actinopterygii	Chordata	Animalia	F
Omobranchus	Omobranchus	Blenniidae	Perciformes	Actinopterygii	Chordata	Animalia	F
Repomucenus	Repomucenus	Callionymidae	Perciformes	Actinopterygii	Chordata	Animalia	F
Caranx	Caranx	Carangidae	Perciformes	Actinopterygii	Chordata	Animalia	F
Trachurus	Trachurus	Carangidae	Perciformes	Actinopterygii	Chordata	Animalia	F
